title of work,artist name,year(s) created
Initial I: Saint James with Christ above,Unknown,about 1280–1290
Initial I: Saint James with Christ above,Unknown,about 1250–1262
Initial I: Saint John as the Eagle,Unknown,about 1170
Initial I: Saint John on Patmos,Master of the Dresden Prayer Book,about 1480–1485 ?
Initial I: Saint John the Baptist,Master of the Brussels Initials,between about 1389 and 1400
Initial I: Saint John the Baptist in the Wilderness,Master of the Dresden Prayer Book,about 1480–1485 ?
Initial I: Saint John the Evangelist,Master of the Brussels Initials,between about 1389 and 1400
Initial I: Saint John the Evangelist,Master of the Brussels Initials,between about 1389 and 1400
Initial I: Saint John the Evangelist,Unknown,about 1260–1270
Initial I: Saint John the Evangelist in a Vat of Boiling Oil,Master of the Brussels Initials,between about 1389 and 1400
"Initial I: Saint John the Evangelist, cutting from a Book of Homilies",Gaddiani Master,about 1150–1200
Initial I: Saint John with God above,Unknown,about 1250–1262
Initial I: Saint Jude,Unknown,about 1170
Initial I: Saint Luke,Master of the Dresden Prayer Book,about 1480–1485 ?
Initial I: Saint Luke,Master of the Brussels Initials,between about 1389 and 1400
Initial I: Saint Mark,Unknown,about 1250–1262
Initial I: Saint Mark,Master of the Dresden Prayer Book,about 1480–1485 ?
Initial I: Saint Mark,Master of the Brussels Initials,between about 1389 and 1400
Initial I: Saint Mark with his Symbol,Unknown,about 1260–1270
Initial I: Saint Mark with His Symbol,Unknown,about 1280–1290
Initial I: Saint Matthew,Master of the Dresden Prayer Book,about 1480–1485 ?
Initial I: Saint Matthew,Master of the Brussels Initials,between about 1389 and 1400
"Initial I: Saint Michael Defeating the Devil, cutting from an antiphonal",Tommaso da Modena,about 1348–1350
Initial I: The Eagle of Saint John the Evangelist,Unknown,about 1260–1270
Initial J: Saint James with a Sword,Unknown,about 1260–1270
Initial J: Saint John the Evangelist,Georges Trubert,about 1480–1490
Initial J: Saint John the Evangelist,Master of the Dresden Prayer Book,about 1480–1485 ?
Initial J: Saint John the Evangelist with his Symbol,Unknown,about 1260–1270
Initial J: Saint Jude with a Book,Unknown,about 1260–1270
Initial J: Saint Peter,Master of the Brussels Initials,between about 1389 and 1400
Initial J: The Beheading of Saint John the Baptist,Master of the Brussels Initials,between about 1389 and 1400
Initial L: A Saint Holding a Scroll,Bute Master,text and illumination about 1285
Initial L: Saint Anastasia,Master of the Brussels Initials,between about 1389 and 1400
