title,artist,date_display,year_sort,century,circa,supplied_title,context
Saint Paul Rending His Garments,Raphael (Raffaello Sanzio),about 1515–1516,1515,16,true,false,
Saint Paul Speaking to the Romans,Master of Jean de Mandeville,about 1360–1370,1360,14,true,false,
Saint Paul with an Open Book,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Paul à Londres,Friedrich Salathé; Unknown; Bougeard; Lemercier et Cie.; Goupil & Cie.; Hector Bossange; Nöel-Marie-Paymal Lerebours,1842,1842,19,false,false,
Saint Paul à Londres,Dusacq et Cie.; Friedrich Salathé; Unknown; F. Chardon Ainé; Rittner & Goupil; Hector Bossange; Dusacq et Cie.,1864–1869,1864,19,false,false,
Saint Peter Handing a Letter to a Messenger,Master of Jean de Mandeville,about 1360–1370,1360,14,true,false,
Saint Peter Martyr,Taddeo Crivelli,about 1469,1469,15,true,false,
Saint Peter with a Key,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Philip,Master of the Rimini Altarpiece,about 1420–1430,1420,15,true,false,
Saint Sebastian,Master of the First Prayer Book of Maximilian,about 1510–1520,1510,16,true,false,
Saint Sebastian,Master of Jacques de Besançon,about 1500,1500,16,true,false,
Saint Sebastian,Unknown,about 1520–1530,1520,16,true,false,
Saint Sebastian,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Sebastian Tended by an Angel,Anthony van Dyck,about 1630–1632,1630,17,true,false,
Saint Sebastian Thrown into the Cloaca Maxima,Ludovico Carracci,1612,1612,17,false,false,
Saint Stephen,Master of Jacques de Besançon,about 1500,1500,16,true,false,
Saint Stephen,Master of the First Prayer Book of Maximilian,about 1510–1520,1510,16,true,false,
Saint Sulpice (No. 94),Édouard Baldus,1860s,1860,19,true,false,
Saint Sébastien attaché à un arbre,Bisson Frères,1861,1861,19,false,false,
Saint Sébastien attaché à une colonne,Bisson Frères,1861,1861,19,false,false,
Saint Thomas with a Book,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Veronica,Lieven van Lathem,about 1471,1471,15,true,false,
Saint Veronica Displaying the Sudarium,Master of Guillebert de Mets,about 1450–1455,1450,15,true,false,
Saint Victor with a Sword,Bedford Master,about 1440–1450,1440,15,true,false,
Saint Vincent Liberating a Man from Prison,Unknown,about 1460,1460,15,true,false,
Saint Vincent with a Book and a Palm,Bedford Master,about 1440–1450,1440,15,true,false,
"Saint with Ladder, Patzcuaro, Mexico",Paul Strand,1933,1933,20,false,false,
Saint Wolfgang,Francis Frith,about 1864,1864,19,true,false,
Sainte Anne et la sainte Vierge,Bisson Frères,1861,1861,19,false,false,
Sainte Clotilde (No. 83),Édouard Baldus,1860s,1860,19,true,false,
Sainte Marie della Salute,Carlo Ponti,1860–1870,1860,19,false,false,
Sainte Véronique,Bisson Frères,1861,1861,19,false,false,
Saloon Steamers on the Saint Laurence [sic],Unknown,1861–1903,1861,19,false,false,
September Calendar Page; Saint Michael,Bedford Master,about 1440–1450,1440,15,true,false,
"Sheet of Studies for ""The Martyrdom of Saint George"" (recto); Studies of a House, Tree, Heads, Artist's Tools, Decorative Motifs, and Computations (verso)",Paolo Veronese (Paolo Caliari),1566,1566,16,false,false,
St. Jean de Luz. - La plage,Edmond de Labrador,about 1870,1870,19,true,false,
St. Jean de Luz. Procession de la Fête-Dieu,Edmond de Labrador,about 1870,1870,19,true,false,
St. Jean la Boucherie,Unknown,negative about 1860s,1860,19,true,false,
St. Jean à Lyon,Friedrich Salathé; Unknown; Bougeard; Goupil et Vibert; Hector Bossange; Nöel-Marie-Paymal Lerebours,1842–1845,1842,19,false,false,
"St. Jerome (recto); Kneeling Male Nude, with His Head and Shoulders Leaning Back (verso)",Juan del Castillo,about 1630–1650,1630,17,true,false,
St. Jerome Hearing the Trumpet of the Last Judgment,Vicente Carducho,about 1626–1632,1626,17,true,false,
St. Jerome Hearing the Trumpet of the Last Judgment,Antonio Castillo y Saavedra,about 1645–1650,1645,17,true,false,
St. John the Baptist,Master of the Harburger Altar,about 1515,1515,16,true,false,
"St. Laurent, Rouen",William J. Stillman,about 1861,1861,19,true,false,
St. Maurice à Vienne,Vogel; Unknown; Tarlé; Goupil et Vibert; Hector Bossange; Nöel-Marie-Paymal Lerebours,1842–1845,1842,19,false,false,
St. Peter's - Rome,"Robert Eaton; Mc Lean, Melhuish, Napper & Co.; Mc Lean, Melhuish, Napper & Co.",about 1855,1855,19,true,false,
"St. Pierre, Caen",William J. Stillman,about 1861,1861,19,true,false,
Standing Female Saint,Martin Schongauer,1490,1490,15,false,false,
Standing Saint,Francesco Morone,about 1510,1510,16,true,false,
"Standing Saint (recto); Studies of Christ at the Column, a Nude from Behind, and Various Figures (verso)",Filippino Lippi,about 1482,1482,15,true,false,
Studies of the Madonna and Child and of Heads (recto); Madonna and Child with Saint John Seated in a Landscape (verso),Michel Corneille the Younger,about 1670–1690,1670,17,true,false,
Study for Saint Peter,Giovanni Girolamo Savoldo,about 1533,1533,16,true,false,
Study for the Figure of the Infant Saint John the Baptist,Fra Bartolommeo (Baccio della Porta),about 1509,1509,16,true,false,
Study for the Head of Saint Joseph (recto); Two Studies of Legs (verso),Andrea del Sarto,about 1526–1527,1526,16,true,false,
Study of a Franciscan Monk (Possibly Saint Francis),Cerano (Giovanni Battista Crespi),about 1600,1600,17,true,false,
Study of a Male Figure (Empedocles and/or Saint Roch),Rosso Fiorentino (Giovanni Battista di Jacopo di Gasparre),about 1538–1540,1538,16,true,false,
Study of the Martyrdom of Saint Peter Martyr,Pordenone (Giovanni Antonio de'Sacchis),1526–1528,1526,16,false,false,
The Adoration of the Magi with Saint Anthony Abbot,Franco-Flemish Master,about 1410–1420,1410,15,true,false,
The Apparition of the Virgin and Child to Saint Louis of France,Mariano Salvador Maella,about 1780s,1780,18,true,false,
The Arrival of Saint John on Patmos,Unknown,about 1255–1260,1255,13,true,false,
The Assumption of the Virgin and Saint Thomas Receiving the Virgin's Girdle,Unknown,about 1460,1460,15,true,false,
The Assumption of the Virgin; Initial G: Saint Thomas Receiving the Virgin's Girdle,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
The Beheading of Saint John the Baptist,Unknown,about 1475,1475,15,true,false,
The Beheading of Saint John the Baptist,Lieven van Lathem,1469,1469,15,false,false,
The Conversion of Saint Paul,Taddeo Zuccaro,1558/1559–1566,1558,16,false,false,
The Conversion of Saint Paul,Wolf Huber,1531,1531,16,false,false,
The Conversion of St. Paul,Christoph Daniel Schenck,1685,1685,17,false,false,
The Denial of Saint Peter,Simon Bening,about 1525–1530,1525,16,true,false,
The Descent from the Cross with Saint Francis and another Friar,Jan de Bisschop; Jacopo Ligozzi,about 1669,1669,17,true,false,
The Family of Berthold VI; The Marriage of Saint Hedwig and Heinrich,Unknown,1353,1353,14,false,false,
"The Inn, Saint Gilgen, with Portrait of the Widow Schöndorfer",Francis Frith,about 1864,1864,19,true,false,
"The Interior of Saint Bavo, Haarlem",Pieter Jansz. Saenredam,1628,1628,17,false,false,
The Liberation of Saint Peter,Laurent de La Hyre,about 1647,1647,17,true,false,
The Lion of Saint Mark,Unknown,about 1420–1430,1420,15,true,false,
"The Madonna and Child and Saint Joseph, by F. Francia",Caldesi & Montecchi,1858,1858,19,false,false,
The Martyrdom of Saint Andrew,Lieven van Lathem,1469,1469,15,false,false,
The Martyrdom of Saint Andrew,Unknown,about 1410,1410,15,true,false,
The Martyrdom of Saint Andrew,Charles Le Brun,1646–1647,1646,17,false,false,
The Martyrdom of Saint Apollonia,Lieven van Lathem,1469,1469,15,false,false,
The Martyrdom of Saint Catherine,Lieven van Lathem,1469,1469,15,false,false,
The Martyrdom of Saint Justina,Paolo Veronese (Paolo Caliari),1575,1575,16,false,false,
The Martyrdom of Saint Lawrence,Lieven van Lathem,1469,1469,15,false,false,
The Martyrdom of Saint Lawrence,Pacino di Bonaguida,about 1340,1340,14,true,false,
The Martyrdom of Saint Sebastian,Unknown,about 1460,1460,15,true,false,
The Martyrdom of Saint Sebastian,Taddeo Crivelli,about 1469,1469,15,true,false,
The Martyrdom of Saint Sebastian,Simon Bening,about 1535–1540,1535,16,true,false,
The Martyrdom of Saint Sebastian,Master of Sir John Fastolf,about 1430–1440,1430,15,true,false,
The Martyrdom of Saint Sebastian,Master of Jacques of Luxembourg,about 1466–1470,1466,15,true,false,
The Martyrdom of Saint Sebastian,Lieven van Lathem,1469,1469,15,false,false,
The Martyrdom of Saint Thomas Becket,Master of Sir John Fastolf,about 1430–1440,1430,15,true,false,
The Martyrdom of Saint Thomas Becket,Willem Vrelant,early 1460s,1460,15,true,false,
The Mass of Saint Gregory,Master of the Lübeck Bible,about 1510–1520,1510,16,true,false,
The Mass of Saint Gregory,Gerard Horenbout,about 1500,1500,16,true,false,
The Mass of Saint Gregory,Master of Sir John Fastolf,about 1430–1440,1430,15,true,false,
The Mass of Saint Gregory,Simon Bening,about 1535–1540,1535,16,true,false,
The Mass of Saint Gregory,Unknown,about 1480–1490,1480,15,true,false,
The Mass of Saint Gregory the Great,Adriaen Ysenbrandt,about 1510–1550,1510,16,true,false,
The Miracles of Saint Francis of Paola,Peter Paul Rubens,about 1627–1628,1627,17,true,false,
The Miraculous Communion of Saint Catherine of Siena,Domenico Beccafumi,about 1513–1515,1513,16,true,false,
The Mystic Marriage of Saint Catherine (after Correggio),Federico Zuccaro,about 1595,1595,16,true,false,
The Opening of Saint Hedwig's Tomb; The Translation of Saint Hedwig's Relics,Unknown,1353,1353,14,false,false,
The Penitent St. Peter,Christoph Daniel Schenck,1685,1685,17,false,false,
The Pietà; Saint John the Evangelist,Willem Vrelant,early 1460s,1460,15,true,false,
The Pledge of Chastity; Saint Hedwig Assisting the Poor and Sick,Unknown,1353,1353,14,false,false,
The Rest on the Flight into Egypt with Saint John the Baptist,Fra Bartolommeo (Baccio della Porta),about 1509,1509,16,true,false,
"The Right Reverend Connop Thirlwall, Lord Bishop of Saint David's.",Ernest H. Edwards,1868,1868,19,false,false,
"The Sick, the Leprous, and the Lame Praying at Saint Hedwig's Tomb; People Coming to Visit Saint Hedwig's Tomb",Unknown,1353,1353,14,false,false,
The Stigmatization of Saint Francis,Unknown,about 1480–1490,1480,15,true,false,
The Stigmatization of Saint Francis,Taddeo Crivelli,about 1469,1469,15,true,false,
The Stigmatization of Saint Francis,Master of the Lübeck Bible,about 1510–1520,1510,16,true,false,
The Stoning of Saint Stephen,Bartholomeus Breenbergh,1632,1632,17,false,false,
The Stoning of Saint Stephen,Unknown,about 1475,1475,15,true,false,
The Stoning of Saint Stephen,Lieven van Lathem,1469,1469,15,false,false,
The Stoning of Saint Stephen,Egerton Master,about 1410,1410,15,true,false,
The Stoning of Saint Stephen,Bedford Master,about 1440–1450,1440,15,true,false,
The Stoning of Saint Stephen,Willem Vrelant,early 1460s,1460,15,true,false,
The Swooning Virgin Supported by Three Holy Women and Three Studies of Men (recto); Saint George and the Dragon (verso),Cesare da Sesto,about 1510,1510,16,true,false,
The Tartars Carrying the Head of Heinrich before Castle Liegnitz; Saint Hedwig Seeing in a Dream Her Son's Soul Carried to Heaven,Unknown,1353,1353,14,false,false,
The Temptation of Saint Anthony,Lelio Orsi,1570s,1570,16,true,false,
The Temptation of Saint Anthony,Lieven van Lathem,1469,1469,15,false,false,
The Virgin and Child with Saint Anne,Willem Vrelant,early 1460s,1460,15,true,false,
The Virgin and Child with Saint Anne,Master of James IV of Scotland,about 1510–1520,1510,16,true,false,
The Virgin and Child with Saint Anne,Lieven van Lathem,1469,1469,15,false,false,
The Virgin and Child with Saint Joseph,Unknown,about 1490,1490,15,true,false,
The Vision of Saint Bruno,Pier Francesco Mola,about 1660,1660,17,true,false,
The Vision of Saint Francis of Paola,Bartolomé Esteban Murillo,about 1670,1670,17,true,false,
The Way to Calvary and Saint Veronica with the Sudarium,Master of James IV of Scotland,about 1510–1520,1510,16,true,false,
The Youthful Saint John the Baptist Seated in a Landscape (recto); Unidentified Figure Composition (Dido and Aeneas?) (verso),Bartolomé Esteban Murillo,about 1655,1655,17,true,false,
Virgin and Child with Saint John the Baptist,Guido Reni,about 1640–1642,1640,17,true,false,
Virgin and Child with Saint John the Baptist and Mary Magdalene,Parmigianino (Francesco Mazzola),about 1535–1540,1535,16,true,false,
Vision of Saint Gaetano Thiene,Ubaldo Gandolfi,about 1775,1775,18,true,false,
"While Saint Hedwig Sleeps, a Candle Falls onto Her Book but Does Not Burn; Saint Hedwig Prophesying the Death of Heinrich",Unknown,1353,1353,14,false,false,
