title,artist,date_display,year_sort,century,circa,supplied_title,context
Initial I: Saint Mark,Master of the Dresden Prayer Book,about 1480–1485 ?,1480,15,true,false,
Initial I: Saint Mark,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial I: Saint Mark with his Symbol,Unknown,about 1260–1270,1260,13,true,false,
Initial I: Saint Mark with His Symbol,Unknown,about 1280–1290,1280,13,true,false,
Initial I: Saint Matthew,Master of the Dresden Prayer Book,about 1480–1485 ?,1480,15,true,false,
Initial I: Saint Matthew,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
"Initial I: Saint Michael Defeating the Devil, cutting from an antiphonal",Tommaso da Modena,about 1348–1350,1348,14,true,false,
Initial I: The Eagle of Saint John the Evangelist,Unknown,about 1260–1270,1260,13,true,false,
Initial J: Saint James with a Sword,Unknown,about 1260–1270,1260,13,true,false,
Initial J: Saint John the Evangelist,Georges Trubert,about 1480–1490,1480,15,true,false,
Initial J: Saint John the Evangelist,Master of the Dresden Prayer Book,about 1480–1485 ?,1480,15,true,false,
Initial J: Saint John the Evangelist with his Symbol,Unknown,about 1260–1270,1260,13,true,false,
Initial J: Saint Jude with a Book,Unknown,about 1260–1270,1260,13,true,false,
Initial J: Saint Peter,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial J: The Beheading of Saint John the Baptist,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial L: A Saint Holding a Scroll,Bute Master,text and illumination about 1285,1285,13,true,false,
Initial L: Saint Anastasia,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial L: Saint Anthony Appearing to Bishop Theophilus and Leading Him to His Hermitage,Master of the Brussels Romuléon,about 1465–1470,1465,15,true,false,
Initial L: Saint Cecilia,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial L: Saint Luke as the Ox,Unknown,about 1170,1170,12,true,false,
Initial L: Saint Matthew Seated,Unknown,late 12th century,1150,12,true,false,
Initial L: Saint Prisca,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial L: The Baptism of Saint Augustine,Master of the Osservanza,about 1430,1430,15,true,false,
Initial L: The Sick in Alexandria Are Healed after Touching the Body of Saint Anthony,Master of the Brussels Romuléon,about 1465–1470,1465,15,true,false,
Initial M: A Saint Holding a Scroll,Bute Master,text and illumination about 1285,1285,13,true,false,
Initial M: Saint Bartholomew,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial M: Saint Luke,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial M: Saint Paul Addressing Two Men,Unknown,about 1250–1262,1250,13,true,false,
Initial M: Saint Paul Speaking to a Group from Judah,Unknown,about 1260–1270,1260,13,true,false,
Initial M: Saint Paul Speaking to the Jews,Unknown,about 1280–1290,1280,13,true,false,
Initial M: Saint Sabina,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial M: The Beheading of Saint John the Baptist,Unknown,about 1260–1270,1260,13,true,false,
Initial M: The Death of Saint Dominic,Bolognese Illuminator of the First Style,about 1265,1265,13,true,false,
Initial M: The Virgin and Child with a Saint,Unknown,about 1300,1300,14,true,false,
Initial N: A Saint Pointing to Heaven and to the Text,Bute Master,text and illumination about 1285,1285,13,true,false,
Initial N: Saint James with a Sword,Stefan Lochner,about 1450,1450,15,true,false,
Initial N: The Beheading of Saint Paul,Niccolò di Giacomo da Bologna,about 1392–1402,1392,14,true,false,
"Initial O: A Camaldolese Saint, cutting from a gradual",Master of the Murano Gradual,about 1420–1425,1420,15,true,false,
Initial O: A Saint Holding a Scroll,Bute Master,text and illumination about 1285,1285,13,true,false,
Initial O: Saint Anthony Abbot,Master of the Dresden Prayer Book,about 1480–1485 ?,1480,15,true,false,
Initial O: Saint Barbara before a Tower,Master of the Llangattock Hours,1450s,1450,15,true,false,
Initial O: Saint Christopher,Master of the Dresden Prayer Book,about 1480–1485 ?,1480,15,true,false,
Initial O: Saint Christopher Carrying the Christ Child,Master of the Llangattock Hours,1450s,1450,15,true,false,
Initial O: Saint Geneviève,Georges Trubert,about 1480–1490,1480,15,true,false,
Initial O: Saint Gregory,Master of the Dresden Prayer Book,about 1480–1485 ?,1480,15,true,false,
Initial O: Saint James the Greater,Master of the Dresden Prayer Book,about 1480–1485 ?,1480,15,true,false,
Initial O: Saint Lawrence,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial O: Saint Nicholas Blessing a Child,Georges Trubert,about 1480–1490,1480,15,true,false,
Initial O: Saint Sebastian,Georges Trubert,about 1480–1490,1480,15,true,false,
Initial O: The Angel of Saint Matthew Holding Up His Gospel,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial O: The Martyrdom of Saint Erasmus,Master of the Llangattock Hours,1450s,1450,15,true,false,
Initial O: The Martyrdom of Saint Sebastian,Master of the Llangattock Hours,1450s,1450,15,true,false,
Initial O: The Pietà with Saint John the Evangelist,Master of the Llangattock Hours,1450s,1450,15,true,false,
Initial P: A Madman Healed After Touching the Body of Saint Anthony,Master of the Brussels Romuléon,about 1465–1470,1465,15,true,false,
Initial P: Saint Bernard Displaying the Host to William of Aquitaine,Unknown,about 1260–1270,1260,13,true,false,
"Initial P: Saint John the Baptist, cutting from a gradual",Giovanni di Paolo; Sano di Pietro,about 1446–1450,1446,15,true,false,
Initial P: Saint Paul,Stefan Lochner,about 1450,1450,15,true,false,
Initial P: Saint Paul,Unknown,about 1170,1170,12,true,false,
Initial P: Saint Paul,Unknown,about 1260–1270,1260,13,true,false,
Initial P: Saint Paul and a Messenger with Books,Unknown,about 1260–1270,1260,13,true,false,
Initial P: Saint Paul and a Priest,Unknown,about 1260–1270,1260,13,true,false,
Initial P: Saint Paul Escaping Prison in a Basket,Unknown,about 1250–1262,1250,13,true,false,
Initial P: Saint Paul Giving a Book to a Bishop,Unknown,about 1260–1270,1260,13,true,false,
Initial P: Saint Paul Giving a Book to a Messenger,Unknown,about 1260–1270,1260,13,true,false,
Initial P: Saint Paul Giving a Letter to a Bishop,Unknown,about 1280–1290,1280,13,true,false,
Initial P: Saint Paul Giving a Letter to a Messenger,Unknown,about 1280–1290,1280,13,true,false,
Initial P: Saint Paul Giving a Scroll to a Bishop,Unknown,about 1250–1262,1250,13,true,false,
Initial P: Saint Paul Giving Two Men a Scroll,Unknown,about 1250–1262,1250,13,true,false,
Initial P: Saint Paul in Conversation,Unknown,about 1280–1290,1280,13,true,false,
Initial P: Saint Paul Receiving a Message from God,Unknown,about 1250–1262,1250,13,true,false,
Initial P: Saint Paul Speaking to a Bishop,Unknown,about 1280–1290,1280,13,true,false,
Initial P: Saint Paul Speaking to a Bishop and a Messenger,Unknown,about 1280–1290,1280,13,true,false,
Initial P: Saint Paul Speaking to a Messenger,Unknown,about 1260–1270,1260,13,true,false,
Initial P: Saint Paul with a Bishop and a Messenger,Unknown,about 1280–1290,1280,13,true,false,
Initial P: Saint Paul with a Book,Unknown,about 1260–1270,1260,13,true,false,
Initial P: Saint Paul with a Book,Unknown,late 12th century,1150,12,true,false,
Initial P: Saint Paul with a Book and a Bishop,Unknown,about 1260–1270,1260,13,true,false,
Initial P: Saint Paul with a Sword,Stefan Lochner,about 1450,1450,15,true,false,
Initial P: Saint Paul; Initial P: A Bishop Giving a Letter to a Messenger,Unknown,about 1280–1290,1280,13,true,false,
Initial P: Saint Peter,Unknown,about 1280–1290,1280,13,true,false,
Initial P: Saint Peter,Stefan Lochner,about 1450,1450,15,true,false,
Initial P: Saint Peter Speaking to a Group from Judah,Unknown,about 1260–1270,1260,13,true,false,
Initial P: Saint Peter with a Book,Unknown,late 12th century,1150,12,true,false,
Initial P: Saint Peter's Vision of Clean and Unclean Beasts,Unknown,about 1250–1262,1250,13,true,false,
Initial P: The Stoning of Saint Stephen,Unknown,about 1320–1325,1320,14,true,false,
Initial P: Timothy Presented to Saint Paul,Unknown,about 1250–1262,1250,13,true,false,
Initial Q: Bishop Theophilus Beholding the Stars which Will Lead Him to the Tomb of Saint Anthony,Master of the Brussels Romuléon,about 1465–1470,1465,15,true,false,
Initial Q: Saint Anthony Reassuring Bishop Theophilus and His Companions During a Great Storm,Master of the Brussels Romuléon,about 1465–1470,1465,15,true,false,
Initial Q: Saint John the Evangelist,Unknown,about 1260–1270,1260,13,true,false,
Initial Q: Saint John the Evangelist in a Vat of Boiling Oil,Unknown,about 1260–1270,1260,13,true,false,
Initial Q: Saint Michael and the Dragon,Unknown,about 1240–1250,1240,13,true,false,
Initial Q: Saint Peter,Unknown,about 1260–1270,1260,13,true,false,
Initial Q: The Martyrdom of Saint Lawrence,Unknown,about 1260–1270,1260,13,true,false,
"Initial R or B: Saint Michael and the Dragon, cutting from an antiphonal",Giovanni di Paolo; Sano di Pietro,about 1446–1450,1446,15,true,false,
Initial R: A Saint Holding a Scroll,Bute Master,text and illumination about 1285,1285,13,true,false,
Initial R: Saint Avia in Prison Receiving Communion from the Virgin,Georges Trubert,about 1480–1490,1480,15,true,false,
Initial R: Saint Peter,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial S: A Bishop before a Fire; Initial O: A Nimbed Monk and a Female Saint,Unknown,about 1300,1300,14,true,false,
"Initial S: Saint Ambrose, cutting",Olivetan Master,about 1440,1440,15,true,false,
Initial S: Saint Christopher,Georges Trubert,about 1480–1490,1480,15,true,false,
